date,rating,review,product
2021-07,1.0,I normally only need to wash my hair every 3-4 days but with this shampoo my hair was greasy after 1 day. After about a week of use it caused me to break out in these sore bumps on my scalp. I stopped using it and they've since gone away. The consistency is also like jelly and not easy to use. Worst shampoo I've used. ,Orchid Oil Shampoo
2020-08,2.0,"My hair is long, thick, and dries mostly straight with some wave. I do balayage which means a little dryness and damage but overall my hair is pretty healthy. This shampoo definitely overstripped my hair which is pretty surprising for something sulfate-free. Goes to show that sulfates aren't the only ingredients that matter in a shampoo formula. The smell is ok, not my favorite, it does linger which is great if you like it. Left my hair feeling really tangled, dry, and stiff even after using the matching conditioner (which wasn't much better).

Pros:
-affordable
-lathers well

Cons:
-too drying
-doesn't smell that great
-weird jelly-like texture that is hard to squeeze out of the bottle.

Definitely would not use again.",Orchid Oil Shampoo
2019-08,4.0,"-lathers easily 
-nice smell
-good for oily hair",Orchid Oil Shampoo
2018-08,5.0,"I rarely have good results with using drug store shampoos and conditioners on my fine, highlighted, humidity-sensitive hair. A friend raved about this, and I saw it at the drugstore, buy one, 2nd one 50percent off, so both shampoo and conditioner together were $12. Worth taking a risk!  It left my hair smooth, soft and shiny, plus smelling fabulous! I will probably alternate with another product, but for now, it will be a staple in my shower!",Orchid Oil Shampoo
2018-08,1.0,"Has a light orchid scent. This shampoo left my fine, dry hair feeling stripped and squeaky clean. ",Orchid Oil Shampoo
2021-06,4.0,"If I were to rate this on being a hairspray used to keep my hair in place, it would be a 1/5 stars... but I'm rating this as a HAIR TEXTURIZER, and giving it 4/5 stars! Used this on vacation in Puerto Rico, and initially wasn't sure if it's the mix of beach water and this spray, but I had AMAZING hair texture that have my normally flat, sleek hair body and a bit of wave. I still use it, and can confirm that this still provides grippy texture which the &quot;anti-humidity&quot; formula helps with. Doesn't make your hair crunchy or immovable, still keeps things soft and flexible even when doused generously over the hair (but don't go too crazy). ",Smoothing + Shea Sleek Humidity-Blocking Hairspray
2021-05,3.0,"I tried this in conjunction with the matching Charcoal shampoo. They both smell nice which is great for in the shower. After using the shampoo, I definitely felt that I needed deep moisture (as all shampoos do). This seems to have a rich texture, but after I rinsed and towel dried my hair, my hair felt really stripped. I think it's too much for my hair, which is very thick and wavy/curly. I'm using up my bottles by sharing with my roommate, and occasionally I may use these products if I feel like I need a deep cleanse.",Charcoal Detox Conditioner
2019-08,4.0,"I loved the Charcoal detox shampoo and used alone initially to see how well it worked. I then added in the conditioner to my routine. I really like them both! The conditioner has that same 'men's body wash' fragrance which might be a deal-breaker for some, personally I didn't mind as the product itself delivers and I can always use a fragranced hair mist to disguise my masculine-smelling hair. This conditioner seems to work better when I don't use a generous amount, I find a smaller amount of product seems to work better for my hair and leave it less oilier. I apply this to the lengths and ends, and let it sit for around 5 minutes whilst I get on with my shower. Results: lovely soft hair which although not in the 'silicone' way of feeling soft, is more of a natural softness that just feels healthy. I wasn't sure if the charcoal in here would interfere with my hair color, luckily it doesn't strip or fade the dye. If you're oily or looking for a conditioner with decent slip that rinses out easily, this is well worth a try. 

Selena x


~ My HG list ~

(As I've sampled 100s of skin, hair and m/u products over the last decade and a half, I thought it might be useful to share my top 10 must-have products, subject to change if and when I come across something more effective. I love constantly trying out new stuff - usually sample sizes via e-bay, also plenty courtesy of a friend who works at Sephora)


1. Hair Loss Treatment: ‘Divine Herbal’ - Hair Oil 
2. Lip Balm: 'Nuxe' - Reve De Miel Lip Balm 
3. Pigmentation + Anti-Ageing Treatment: ‘Divine Herbal’ - Facial Treatment Serum 
4. Cleanser: 'Paula's Choice' - Skin Balancing Cleanser 
5. Concealer: ‘Mac’ - Studio Finish Concealer 
6. Lash Growth Serum: ‘Divine Herbal’ - Divinelash 
7. Foundation/SPF: ‘Juice Beauty’ - Stem Cellular Repair (warm glow) 
8. Face Scrub: ‘Sisley' - Botanical Gentle Buffing Cream 
9. Moisturizer: ‘Lush' - Enzymion 
10. Hand Cream: 'Origins' - Make A Difference Rejuvenating Hand Treatment",Charcoal Detox Conditioner
2021-04,4.0,"I'm surprised at all the low reviews for this shampoo -- I really like it!  I have very boring hair though so I'm not looking for any specific results from my shampoo, I just need something that cleans well (and smells nice), and this fits the bill perfectly.  It foams up nicely, rinses clean, and I have no issues with it.  The bottle also lasts a good long while, especially if you have short hair like me.  It's a really basic shampoo, but that's what I like about it -- no frills.  The packaging is on the bulky side, but eh, I can live with that.  I think OGX as a brand is a little pricey for the drugstore, but I would purchase this product again, and I'd like to explore some more shampoos from OGX too.",Renewing Argan Oil Morocco Shampoo
2021-02,1.0,Picked this up at the supermarket and my mother told me to put it back as it gave her horrible greasy hair when she used this shampoo back in the day! I wanted to try the product myself so I purchased. The product made my hair feel so thick and greasy and not exactly the effect you'd expect from a Moroccan Argan oil shampoo! My roots especially felt very greasy- and this happened every single time I used the shampoo. Never purchasing again and not bothered to try any more OGX products ,Renewing Argan Oil Morocco Shampoo
